season,round,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,grid,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,qualifying_secs,circuit_id_adelaide,circuit_id_albert_park,circuit_id_americas,circuit_id_bahrain,circuit_id_baku,circuit_id_brands_hatch,circuit_id_catalunya,circuit_id_detroit,circuit_id_estoril,circuit_id_galvez,circuit_id_hockenheimring,circuit_id_hungaroring,circuit_id_imola,circuit_id_indianapolis,circuit_id_interlagos,circuit_id_istanbul,circuit_id_jacarepagua,circuit_id_jerez,circuit_id_kyalami,circuit_id_magny_cours,circuit_id_marina_bay,circuit_id_monaco,circuit_id_monza,circuit_id_nurburgring,circuit_id_phoenix,circuit_id_red_bull_ring,circuit_id_ricard,circuit_id_rodriguez,circuit_id_sepang,circuit_id_shanghai,circuit_id_silverstone,circuit_id_sochi,circuit_id_spa,circuit_id_suzuka,circuit_id_valencia,circuit_id_villeneuve,circuit_id_yas_marina,circuit_id_yeongam,circuit_id_zandvoort,nationality_American,nationality_Australian,nationality_Austrian,nationality_Belgian,nationality_Brazilian,nationality_British,nationality_Canadian,nationality_Danish,nationality_Dutch,nationality_Finnish,nationality_French,nationality_German,nationality_Italian,nationality_Japanese,nationality_Mexican,nationality_Russian,nationality_Spanish,nationality_Swedish,constructor_alfa,constructor_arrows,constructor_bar,constructor_benetton,constructor_brabham,constructor_ferrari,constructor_footwork,constructor_force_india,constructor_haas,constructor_jaguar,constructor_jordan,constructor_larrousse,constructor_ligier,constructor_lotus_f1,constructor_mclaren,constructor_mercedes,constructor_minardi,constructor_prost,constructor_red_bull,constructor_renault,constructor_sauber,constructor_team_lotus,constructor_toro_rosso,constructor_toyota,constructor_tyrrell,constructor_williams,number_of_laps,circuit_length,circuit_id_miami,circuit_id_jeddah,circuit_id_qatar,circuit_id_long_beach,circuit_id_portugal,circuit_id_italy,circuit_id_buddh,circuit_id_fuji,circuit_id_pacific,circuit_id_europe,circuit_id_fair_park,circuit_id_dijon_prenois,circuit_id_rio,direction_a,direction_c,direction_nan
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,max_verstappen,1,0,0,0,0,0,0,29.708,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,perez,2,0,0,0,0,0,0,29.846,33,0.138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,leclerc,3,0,0,0,0,0,0,30,25,0.292,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,sainz,4,0,0,0,0,0,0,30.154,28,0.446,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,alonso,5,0,0,0,0,0,0,30.336,41,0.628,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,russell,6,0,0,0,0,0,0,30.34,25,0.632,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,hamilton,7,0,0,0,0,0,0,30.384,38,0.676,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,stroll,8,0,0,0,0,0,0,30.836,24,1.128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,ocon,9,0,0,0,0,0,0,30.984,26,1.276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,hulkenberg,10,0,0,0,0,0,0,30.809,35,1.101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,norris,11,0,0,0,0,0,0,31.381,23,1.673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,bottas,12,0,0,0,0,0,0,31.443,33,1.735,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,zhou,13,0,0,0,0,0,0,31.473,23,1.765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,tsunoda,14,0,0,0,0,0,0,32.51,22,2.802,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,albon,15,0,0,0,0,0,0,31.461,26,1.753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,sargeant,16,0,0,0,0,0,0,31.652,21,1.944,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,kevin_magnussen,17,0,0,0,0,0,0,31.892,30,2.184,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,piastri,18,0,0,0,0,0,0,32.101,21,2.393,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,de_vries,19,0,0,0,0,0,0,32.121,28,2.413,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,TRUE,FALSE,TRUE,FALSE,FALSE,gasly,20,0,0,0,0,0,0,32.181,27,2.473,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0